ispb,name,code,full_name
32074986,BEETELLER IP LTDA.,550,BEETELLER INSTITUIÇÃO DE PAGAMENTO LTDA.
32192325,UZZIPAY IP S.A.,552,UZZIPAY INSTITUIÇÃO DE PAGAMENTO S.A.
32343119,MÊNTORE IP S.A.,804,MÊNTORE INSTITUIÇÃO DE PAGAMENTO S.A.
32402502,QI SCD S.A.,329,QI SOCIEDADE DE CRÉDITO DIRETO S.A.
32648370,FAIR SOCIEDADE CC,196,FAIR SOCIEDADE CORRETORA DE CÂMBIO S.A.
32708748,WE PAY OUT IP LTDA.,662,WE PAY OUT INSTITUICAO DE PAGAMENTO LTDA.
32820711,EFEX IP,693,EFEX INSTITUIÇÃO DE PAGAMENTO S.A.
32997490,CREDITAS SCD,342,CREDITAS SOCIEDADE DE CRÉDITO DIRETO S.A.
33040601,MERCANTIL FINANCEIRA,567,"MERCANTIL FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO."
33042151,BCO LA NACION ARGENTINA,300,BANCO DE LA NACION ARGENTINA
33042953,CITIBANK N.A.,477,CITIBANK N.A.
33132044,BCO CEDULA S.A.,266,BANCO CEDULA S.A.
33147315,BCO BRADESCO BERJ S.A.,122,BANCO BRADESCO BERJ S.A.
33172537,BCO J.P. MORGAN S.A.,376,BANCO J.P. MORGAN S.A.
33264668,BCO XP S.A.,348,BANCO XP S.A.
33466988,BCO CAIXA GERAL BRASIL S.A.,473,BANCO CAIXA GERAL - BRASIL S.A.
33479023,BCO CITIBANK S.A.,745,BANCO CITIBANK S.A.
33588252,BCO INDUSCRED DE INVESTIM. S/A,708,BANCO INDUSCRED DE INVESTIMENTO S.A.
33603457,BCO RODOBENS S.A.,120,BANCO RODOBENS S.A.
33630661,GOWD IP LTDA.,677,GOWD INSTITUIÇÃO DE PAGAMENTO LTDA.
33644196,BCO FATOR S.A.,265,BANCO FATOR S.A.
33657248,BNDES,7,BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL
33775974,ATIVA S.A. INVESTIMENTOS CCTVM,188,"ATIVA INVESTIMENTOS S.A. CORRETORA DE TÍTULOS, CÂMBIO E VALORES"
33862244,BGC LIQUIDEZ DTVM LTDA,134,BGC LIQUIDEZ DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
